Source,Target,Type,Id,Label,Weight,Candidate
1000013956,1365464878,Directed,190843,,2,Jalili
1000018594,1000665140,Directed,190847,,2,Jalili
1000018594,1000975413,Directed,190849,,2,Jalili
1000018594,1001976122,Directed,190856,,23,Jalili
1000018594,1002062924,Directed,190857,,3,Jalili
1000018594,1002531766,Directed,190860,,4,Jalili
1000018594,1002738390,Directed,190862,,2,Jalili
1000018594,1002739327,Directed,190863,,16,Jalili
1000018594,1002765601,Directed,190864,,10,Jalili
1000018594,1003087085,Directed,190866,,4,Jalili
1000018594,1004135749,Directed,190868,,2,Jalili
1000018594,1004148460,Directed,190869,,2,Jalili
1000018594,1004270162,Directed,190870,,2,Jalili
1000018594,1004576149,Directed,190871,,2,Jalili
1000018594,1004793780,Directed,190873,,4,Jalili
1000018594,1005280116,Directed,190874,,14,Jalili
1000018594,1005665139,Directed,190875,,7,Jalili
1000018594,1005866359,Directed,190877,,9,Jalili
1000018594,1006083633,Directed,190879,,4,Jalili
1000018594,1006212930,Directed,190880,,26,Jalili
1000018594,1006227643,Directed,190881,,39,Jalili
1000018594,1006298883,Directed,190882,,8,Jalili
1000018594,1006914438,Directed,190886,,2,Jalili
1000018594,1006939659,Directed,190887,,11,Jalili
1000018594,1007007698,Directed,190889,,6,Jalili
1000018594,1007697751,Directed,190891,,2,Jalili
1000018594,1007884158,Directed,190895,,2,Jalili
1000018594,1008048202,Directed,190896,,2,Jalili
1000018594,1008760781,Directed,190899,,2,Jalili
1000018594,1013336404,Directed,190903,,4,Jalili
1000018594,1014795163,Directed,190904,,3,Jalili
1000018594,1019386970,Directed,190905,,4,Jalili
1000018594,1027676885,Directed,190909,,25,Jalili
1000018594,1050977352,Directed,190914,,4,Jalili
1000018594,1053251919,Directed,190915,,2,Jalili
1000018594,1056093184,Directed,190917,,2,Jalili
1000018594,1068487996,Directed,190921,,10,Jalili
1000018594,1068763227,Directed,190922,,2,Jalili
1000018594,1069291200,Directed,190923,,10,Jalili
1000018594,1074370071,Directed,190925,,2,Jalili
1000018594,1083361094,Directed,190934,,3,Jalili
1000018594,1083368581,Directed,190935,,2,Jalili
1000018594,1083859091,Directed,190936,,2,Jalili
1000018594,1090880379,Directed,190938,,2,Jalili
1000018594,1091867953,Directed,190939,,2,Jalili
1000018594,1093410959,Directed,190941,,2,Jalili
1000018594,1101759541,Directed,190947,,3,Jalili
1000018594,1106958042,Directed,190949,,2,Jalili
1000018594,1107633871,Directed,190950,,2,Jalili
1000018594,1116916704,Directed,190953,,2,Jalili
1000018594,1127390421,Directed,190958,,17,Jalili
1000018594,1147088203,Directed,190964,,2,Jalili
1000018594,1160303891,Directed,190968,,2,Jalili
1000018594,1255060410,Directed,190980,,2,Jalili
1000018594,1261623772,Directed,190982,,5,Jalili
1000018594,1286006168,Directed,190988,,2,Jalili
1000018594,1340796643,Directed,190990,,2,Jalili
1000018594,1374693748,Directed,190996,,2,Jalili
1000018594,1454361599,Directed,191003,,5,Jalili
1000018594,1489742853,Directed,191007,,3,Jalili
1000018594,1532857131,Directed,191012,,13,Jalili
1000018594,1650789564,Directed,191017,,2,Jalili
1000018594,1779082644,Directed,191022,,2,Jalili
1000018594,1803583427,Directed,191024,,3,Jalili
1000018594,1859547507,Directed,191027,,7,Jalili
1000018594,1990273594,Directed,191033,,4,Jalili
1000078989,1001853369,Directed,191047,,2,Jalili
1000078989,1002739327,Directed,191049,,2,Jalili
1000078989,1002842804,Directed,191050,,3,Jalili
1000078989,1004148460,Directed,191055,,2,Jalili
1000078989,1006939659,Directed,191059,,19,Jalili
1000078989,1033402168,Directed,191066,,2,Jalili
1000078989,1704978978,Directed,191083,,3,Jalili
1000087957,1050220292,Directed,191085,,2,Jalili
1000099415,1000978043,Directed,191094,,2,Jalili
1000099415,1383604855,Directed,191100,,3,Jalili
1000134855,1002670105,Directed,191102,,3,Jalili
1000134855,1532857131,Directed,191110,,2,Jalili
1000163449,1054434303,Directed,191129,,2,Jalili
1000163449,1058365023,Directed,191131,,2,Jalili
1000163449,1058667053,Directed,191132,,2,Jalili
1000163449,1068487996,Directed,191133,,3,Jalili
1000163449,1366179987,Directed,191140,,4,Jalili
1000180159,1001539027,Directed,191156,,2,Jalili
1000180159,1001976122,Directed,191157,,15,Jalili
1000180159,1002739327,Directed,191160,,4,Jalili
1000180159,1002765601,Directed,191161,,5,Jalili
1000180159,1004576149,Directed,191168,,3,Jalili
1000180159,1005020200,Directed,191169,,3,Jalili
1000180159,1005280116,Directed,191170,,11,Jalili
1000180159,1006939659,Directed,191177,,19,Jalili
1000180159,1007007698,Directed,191178,,4,Jalili
1000180159,1007884158,Directed,191179,,3,Jalili
1000180159,1008702726,Directed,191180,,3,Jalili
1000180159,1101039400,Directed,191188,,5,Jalili
1000180159,1127390421,Directed,191191,,2,Jalili
1000186879,1073422940,Directed,191207,,2,Jalili
1000186879,1956708093,Directed,191211,,2,Jalili
1000193962,1000903726,Directed,191215,,2,Jalili
1000193962,1001976122,Directed,191216,,3,Jalili
1000193962,1005280116,Directed,191225,,2,Jalili
1000193962,1006939659,Directed,191230,,3,Jalili
1000193962,1007007698,Directed,191231,,3,Jalili
1000193962,1007883087,Directed,191233,,2,Jalili
1000193962,1027676885,Directed,191236,,2,Jalili
1000193962,1069291200,Directed,191237,,4,Jalili
1000198153,1006348432,Directed,191262,,2,Jalili
1000199765,1005665139,Directed,191291,,2,Jalili
1000207081,1019386970,Directed,191298,,4,Jalili
1000235473,1258612234,Directed,191313,,2,Jalili
1000241310,1001976122,Directed,191320,,2,Jalili
1000241310,1005665139,Directed,191329,,20,Jalili
1000241310,1006212930,Directed,191330,,2,Jalili
1000241310,1006441933,Directed,191331,,2,Jalili
1000241310,1006939659,Directed,191334,,2,Jalili
