Id,Label,views,followers,importance,posts,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,modularity_class
1025087215,volleyballpress,11237,4389,1.417582,17,0,1,1,0.184932,0,45
1447659114,gazersesi,3049,1160,1.2681,37,0,2,2,0.666667,0,37
1543593190,makos_herat,2979,6272,1.145952,7,0,1,1,0.176601,0,168
1826268931,sedalihasani,89823,6051,2.333737,47,3,0,3,0,0,0
1124128736,alisaraye_fouman,0,114,1.025306,6,0,1,1,1,0,139
1265225900,bnbuni_news,23770,1917,1.896218,74,0,3,3,0.230914,0,189
1120524214,bayeganitabligh,4313,422,1.212613,12,0,1,1,1,0,115
1196169975,qezavatba_shoma,21893,10358,1.589263,14,16,0,16,0,0,34
1133333907,akhbar_sardasht,4758,7132,1.248739,17,0,2,2,0.194353,0,37
1137540850,khabarhaye_farhangian,0,2775,1.025306,6,0,1,1,1,0,37
1477131077,enghelabema1,50008,6761,2.369354,115,4,5,9,0.220259,32.836163,168
1528500186,twite_hub,107144,131428,2.232524,20,0,2,2,0.191855,0,168
1033296061,pol2okhtariha,61253,15046,2.051442,28,0,2,2,0.226461,0,168
1034919436,skaghazkonan,22518,5166,1.674239,28,0,1,1,0.211411,0,106
1257042681,dolarmashad,221483,37466,2.665061,34,0,1,1,1,0,1
1107871117,mardom_press,2959,22562,1.615216,183,25,22,47,0.251022,19754.634246,168
1265647884,mrndailynotes,586,752,1.083044,14,0,1,1,0.207916,0,189
1369864112,fori_jo,8102,25862,1.309787,10,0,1,1,0.188815,0,168
1333386301,bornanewslahijan,21,150,1.02624,6,0,1,1,0.194827,0,18
1000269418,recenteconomicnews,118732,7114,3.116263,200,15,9,24,0.22964,13091.325075,168
1669014040,beast_aiirdrop,605,3369,1.142361,30,0,1,1,1,0,2
1140061335,official_jeeto,0,434,1.0086,2,0,1,1,1,0,168
1605903163,newnewsroom,1570,685,1.300155,67,1,6,7,0.217842,43.266017,106
1015454017,lorestanaligoodarz,2111,2154,1.270772,49,0,5,5,0.220154,0,168
1371957809,sedayebokan,63463,16652,2.200052,51,2,3,5,0.220961,7.15077,168
1251989231,sarpol313,0,81,1.093422,24,0,1,1,0.193623,0,168
1357522667,persiannewsfa,0,13020,1.158362,44,0,9,9,0.23438,0,206
1102057774,akhbar_galikesh,0,589,1.025306,6,0,1,1,0.158989,0,37
1268286553,masoud_jowzi,0,18,1.0086,2,0,1,1,1,0,3
1052279687,nedayzarinabad,19444,3042,1.826019,75,1,8,9,0.226544,17.904645,206
1589603349,falaq_book,10694,5298,1.380608,12,0,1,1,0.190374,0,189
1197434300,b_retouche,0,141,1.017033,4,0,1,1,0.211411,0,106
1494752136,nezarateejtemai,232,343,1.071263,15,0,1,1,0.174607,0,168
1275084443,mizanplus,384023,100454,4.004437,249,97,12,109,0.234637,12951.964169,168
2061662171,r_sanatnewsilam,4732,202,1.457959,77,0,6,6,0.22593,0,189
1141578942,enda_rabehem_yourzaghon,12,221,1.041935,10,0,1,1,0.199351,0,168
1253767901,shomaldelnavaz,4,2,1.025484,6,0,1,1,0.216015,0,189
1054546965,lalalo95,376,403,1.186029,47,0,3,3,0.233821,0,189
1385987059,dollar_khabari,40235,55849,2.084259,68,0,7,7,0.23506,0,189
1003042830,ahlekashanam,52856,34741,1.879853,11,1,1,2,0.200427,88.325059,37
1027863324,alabd110,5955,21192,1.223386,4,1,0,1,0,0,4
1146982780,ket1332,2650,1540,1.143338,9,0,1,1,0.205059,0,189
1076592864,sobhtoos,5557,5066,1.580894,112,27,14,41,0.226608,24115.968771,168
1325327689,klipahangirani,0,6103,1.029384,7,0,1,1,0.666667,0,92
1837340887,boshsalam02,2377,273,1.245449,38,0,2,2,0.211663,0,168
1065064585,kermanitr,1527,2482,1.084213,5,0,1,1,1,0,139
1283925057,clip_avval,0,1122,1.025306,6,0,2,2,0.214622,0,139
1203421319,mamaloonews,428,272,1.091391,18,0,2,2,0.219609,0,168
1363708134,mehrabtehrani,0,5,1.021189,5,0,1,1,0.228862,0,189
1088647845,abdre,3137,4906,1.173546,12,0,1,1,0.21336,0,168
1263782642,zahedan_plus,17,1373,1.108027,28,0,4,4,0.200855,0,168
1917356010,baseerattt,25805,13860,1.756475,35,8,2,10,0.19287,105.753844,168
2039900590,farmandari_javanroud,446,178,1.032031,3,1,0,1,0,0,5
1032100329,telgramgoharbaran,428,1213,1.064349,11,0,1,1,0.177741,0,168
2101489131,weathermarand,3500,1476,1.172638,9,0,1,1,1,0,37
1101659798,shahreabali,1007,959,1.13532,23,2,2,4,0.181746,3194,37
1146425140,instagram7377,0,2,1.184691,53,0,8,8,0.145999,0,34
2046872658,vaarzesh_plus,6427,150779,1.261052,9,0,1,1,1,0,37
1116949606,esfahansima,43,749,1.047271,11,0,1,1,0.211411,0,106
1202171214,farhangirani7000,21126,3341,1.611351,20,1,0,1,0,0,189
1198148532,filmmmnoehe,0,23188,1.049218,12,3,1,4,1,3,92
1122430516,mashad_online,8638,86056,1.33783,13,0,1,1,1,0,37
1328512943,sedayekhorasaniha,2562,12010,1.298916,52,3,4,7,0.208709,1602.07113,168
1000956744,baharane1,191,226,1.080689,18,0,1,1,0.194282,0,168
1132751577,esteghlalpage_fun,126487,39215,2.264687,15,2,0,2,0,0,37
1036075006,emamzaman,1098,8864,1.150157,26,0,6,6,0.218754,0,139
1082285685,sports_journal,8,185,1.029741,7,0,1,1,0.197673,0,168
1002519032,karrabiha,0,1493,1.045323,11,0,2,2,1,0,37
1542243055,kafeh4545,106,635,1.013219,2,1,0,1,0,0,6
1643299223,faaaryaaadeazadiii,245,169,1.05234,10,0,1,1,1,0,7
1410547236,atisaz_broker,5711,7195,1.324449,28,1,4,5,0.220686,10.439214,189
1338316416,otagkhabari,5610,26713,1.668306,150,0,18,18,0.248328,0,168
1452641433,poorseshgar,11468,5162,1.600011,59,0,1,1,0.191648,0,168
1103513668,makujavan_ir,8345,10503,1.49328,52,0,6,6,0.211544,0,168
1350427332,mammyhan,129,954,1.208085,59,2,4,6,0.188466,1607.429233,34
1368781725,iraq_aqlim,46971,13983,2.339301,115,53,12,65,0.232484,43400.13428,139
1898974432,axarazazerbaycan,7178,1149,1.470027,55,0,1,1,0.154121,0,34
1704324935,irna_esfahan,26378,2391,1.717501,26,0,3,3,0.199276,0,247
1170866818,vahdat_chaldran,81,285,1.090166,22,0,3,3,0.219248,0,106
1257555276,khabare_tasviri,91,527,1.041508,9,0,1,1,0.211411,0,106
1071793707,mosavialigudarz,160,603,1.07555,17,0,5,5,0.187617,0,168
1461099714,dowlatabad_ava,1693,700,1.10362,8,0,1,1,1,0,45
1183205917,nibiru_x_taregh,9015,18151,1.351883,14,1,0,1,0,0,189
1656714669,azxabartv,423,156,1.116646,25,0,1,1,0.171441,0,37
1277073103,sokhaniaznikan,7197,2329,1.709638,142,0,10,10,0.223541,0,34
1018424368,jangaavaran1390,156655,55264,2.356678,15,1,0,1,0,0,8
1127293047,yadetat,10058,3681,1.550154,55,0,2,2,0.220824,0,168
1000134855,fazeli_mohammad,747330,54339,3.394611,51,48,2,50,0.223217,11154.690695,189
1218494030,semnani_fouri,283,1085,1.24794,71,1,12,13,0.243416,19.848079,189
1109353653,golchinmajali1,120,57,1.132944,34,0,2,2,1,0,168
1201772409,tehraan_news,3816,7800,1.37931,62,1,11,12,0.230692,57.928037,189
1094481958,yenibarzi,187,277,1.095101,22,0,2,2,0.202562,0,139
1795252467,mizsabz,43242,45103,2.641514,239,8,27,35,0.255115,2773.123566,206
1059233156,akhbarapkh,0,11159,1.049218,12,0,1,1,1,0,37
1340422785,arz_tala_online,0,102948,1.064458,16,0,1,1,1,0,92
1090098642,gomishan,1116,6111,1.220954,47,0,5,5,0.233582,0,168
1028944076,tabrizhim,0,775,1.0086,2,0,1,1,1,0,168
1088734211,markazifarsnews,149,1228,1.13107,33,0,2,2,0.194353,0,168
1192251772,iran27tavana,787,340,1.254813,64,0,4,4,0.229355,0,106
1209501342,mojtabarouhizadeh,1788,1251,1.144497,17,0,1,1,0.152604,0,168
1008677912,rahnamye_behesht,2272,5693,1.120912,7,1,0,1,0,0,9
1106897183,farsbo,243,1200,1.040117,7,0,1,1,1,0,37
1006431058,esfbonyadomid,33,153,1.131951,35,0,1,1,0.223419,0,189
1749360951,lowlifeforlife,0,44,1.0086,2,0,1,1,1,0,191
1841793988,shindiwar,1010,2184,1.116673,18,0,1,1,0.204796,0,168
1551330485,binabsevan,9098,11630,1.646783,93,2,8,10,0.230336,3224.307187,168
1064620748,patogh,0,14505,1.11059,29,0,2,2,0.225229,0,206
1300947480,akhbar_lalejin,73647,6443,2.427,83,1,9,10,0.230203,6015.975887,189
1451485601,arasbarannnn,3445,1968,1.39721,73,0,7,7,0.215345,0,206
1111440054,akhbarealvand,43528,8418,2.194456,86,0,8,8,0.240989,0,189
1248446076,militech,242397,81266,3.038199,84,20,3,23,0.217113,1884.709317,189
1363881620,cityqoods,3336,6853,1.249442,29,0,5,5,0.211271,0,34
1081070610,shohadaye_jolgeh,27,571,1.042612,10,0,2,2,0.176133,0,168
1519867708,vahidsunny2,817,224,1.28286,74,0,4,4,0.206919,0,139
1402530600,dorhamibaboliha,66,103,1.067499,16,1,0,1,0,0,37
1013786205,nishtmanijoan,1493121,182306,3.591064,35,1,0,1,0,0,10
1056143995,vahdatedarmian,792,1075,1.143861,28,0,1,1,0.194827,0,168
1009810902,bahsedagh,3273,9251,1.186871,14,0,1,1,0.211411,0,106
1180386177,havadarii_esteghlal,2972,21712,1.163452,11,0,1,1,0.18287,0,189
1353211490,amlashbeheshtgilan,2149,5301,1.35877,79,0,6,6,0.223076,0,168
1001771769,fialborujerd,993,280,1.108224,16,0,1,1,0.194188,0,139
1453222479,yaddashthaymodirebesoyebahar,393,108,1.227029,61,0,1,1,0.666667,0,11
1007720714,vomir,468915,15086,4.569862,407,4,45,49,0.267785,8621.258683,189
1018851106,tejaratnews,213591,50997,4.353749,613,33,50,83,0.274274,30235.018714,206
1452959628,sabzevar_payam,36,1499,1.066119,16,0,2,2,0.19433,0,168
1144239505,chamansoltannews,1400,1441,1.132877,18,0,1,1,1,0,37
1219471365,pishkesvatanbanki,24038,3769,1.80173,50,0,4,4,0.231081,0,189
1598618560,cfualborz,0,1179,1.025306,6,0,1,1,0.15456,0,168
1060585846,malayer_online,43393,20865,2.070661,58,1,6,7,0.23875,1597,189
1363241069,simaintv,30247,138603,1.819028,36,19,0,19,0,0,34
1819541792,etebarbroker,31356,7952,1.827228,35,22,2,24,0.207354,123.314223,168
1226591153,newsdatcom,859,2831,1.618207,265,1,36,37,0.264375,14.606729,189
1376241815,akhbarfouri7,43,113,1.240353,73,0,8,8,0.216884,0,168
1087250681,hod_hod_news,1890,1218,1.24545,44,0,5,5,0.217238,0,139
1894149023,andisheh_w_l_f,183,60,1.076599,17,0,1,1,1,0,34
1266214544,crypto_iran_ir,27599,46334,1.824625,44,0,1,1,0.666667,0,139
1488982449,sabzevarfori,59535,7387,2.707711,195,1,25,26,0.25503,1479.479397,168
1064081040,dalahoocommander,0,104,1.012837,3,0,1,1,1,0,37
1221821431,ghiamsarasary,993,1597,1.27299,67,0,5,5,0.170419,0,34
1106958042,talkhand_siyasi2,3222322,222089,6.632497,676,161,64,225,0.286484,160429.286611,189
1254015218,proxy_online,0,84447,1.136721,37,0,1,1,0.153499,0,92
1012087788,homayebourse,7927,1209,1.455784,45,0,1,1,0.191418,0,139
1278196504,eghtesad124,128898,5566,3.13026,189,1,9,10,0.230625,1598,139
1375952623,shabazzx,3966,491,1.375686,59,0,3,3,0.208241,0,189
1388091963,jahantejaratrazi,8643,2979,1.427871,33,0,2,2,0.228928,0,37
1896751801,hosseinnoorani,24426,422,1.624343,14,3,0,3,0,0,189
1036995572,shiamahdavi,8,354,1.061066,15,0,3,3,0.190567,0,181
1315413505,entqam_sakht,245468,26187,3.822155,287,2,32,34,0.259091,957.400005,168
1008219800,eghtesadmashhad,8951,12941,1.54873,63,0,5,5,0.225692,0,206
1117177608,mttga,4312,269,1.352472,48,0,1,1,1,0,12
1172674492,filmhendi_ir,11692,140722,1.370116,6,2,0,2,0,0,189
1480431834,golestan24_news,182,968,1.151968,39,0,6,6,0.22334,0,168
1374693748,tabnak,115883,85445,3.607052,422,161,52,213,0.277758,51060.002525,189
1067465089,kerman_news,2695,18925,1.261469,39,0,2,2,0.1778,0,189
1080433748,aaaaaebmhfrros2clxojwq,154,185,1.153735,40,0,2,2,0.204403,0,139
1904131573,abdi_media,167591,19699,3.58646,293,3,19,22,0.245993,10711.711712,168
1114177078,khabarekhalijefars,50,718,1.142348,38,0,1,1,0.176114,0,168
1394308979,gholchenkhabar_ostani,72,192,1.032591,7,0,1,1,1,0,37
1298241067,iauk_basij,176,709,1.02474,4,1,0,1,0,0,13
1195623115,naghde1aghda1,1662,491,1.191875,31,0,2,2,0.214334,0,106
1004094231,rasademaragha,959,2098,1.122101,20,0,2,2,0.206892,0,139
1081334285,kalhorkandimiz,22163,2772,2.085903,142,0,17,17,0.259253,0,189
1099408241,ghorohkhabaribaharestan,64,215,1.106862,27,0,2,2,0.220702,0,206
1211212194,shomarshmakos,3395,1103,1.344583,56,1,2,3,0.1674,11.116667,34
1453962678,lashyma,0,27175,1.037426,9,0,1,1,0.666667,0,92
1405574309,taybad_salam,13646,12255,2.242601,329,0,30,30,0.258534,0,206
1441204494,tiraxtur_tiractor,913,4596,1.138531,25,0,2,2,0.22507,0,206
1070263775,akhbare_kermanshah,3944,10536,1.304463,38,0,1,1,0.203336,0,189
1667660021,nightlybulletin,298,38,1.434707,161,0,14,14,0.244414,0,206
1171561159,tofigh_kh,1037,1385,1.17877,35,0,1,1,0.220428,0,189
1234574457,khavaran_khj,767,819,1.207821,48,3,4,7,0.202821,49.663951,168
1000853641,genaveh24_ir,498,1442,1.154191,35,0,8,8,0.229421,0,168
1442209897,namayande_graph,5083,18125,1.73906,199,25,22,47,0.237465,19011.778849,168
1379709688,vaighancity,4594,1985,1.411198,63,0,7,7,0.213665,0,168
1047302477,siosebig,930,596,1.146433,27,2,3,5,0.197892,1642.470345,168
1355103561,akhbare_bonab,741,3732,1.112684,20,1,1,2,0.187309,1597,168
1239973501,sepahp_ir,32522,26969,2.585768,287,4,37,41,0.269914,4480.167012,206
1508283416,filmkadeh_ironi,0,3001,1.0086,2,0,1,1,1,0,92
1585391539,artesh_taji_chanal,2311,1619,1.207184,28,0,1,1,1,0,37
1078945187,gunashli_xoy,55656,7884,2.508223,140,0,17,17,0.25118,0,189
1206592157,belashabad_news,107,214,1.030045,6,0,1,1,1,0,37
1112326324,hossinabadih,0,85,1.064458,16,0,4,4,0.211508,0,168
1043036861,sarvkhabarezirkooh,171,2742,1.036964,7,0,1,1,0.185159,0,139
1563450826,ya_hossein57,111,879,1.077021,18,0,1,1,0.194117,0,139
1007880588,sharifpress,3695,2611,1.21826,18,1,0,1,0,0,14
1075616270,sultanzincir,68208,1033,3.199966,390,0,35,35,0.263749,0,189
1357850342,uni_ardabil,0,148,1.021189,5,0,1,1,0.190051,0,189
1934870822,ravantrapy,0,125088,1.08636,22,0,4,4,0.183047,0,229
1149353449,nezamitarin,1010983,155047,5.849499,779,45,46,91,0.271014,176829.271617,139
1716519827,azadivatanam,331,162,1.119414,27,3,2,5,0.12729,1844.24873,34
1003085119,bbehdaad,8361,449,1.528702,62,1,3,4,0.229487,1597,189
1073963949,shadehsariha,759,353,1.102124,17,0,1,1,1,0,45
1066664051,basirat,14119,10481,1.613652,47,0,1,1,0.192851,0,168
1750619781,parsmesghal,164,122,1.115032,28,0,1,1,0.5,0,34
1686449731,banooaryavi,22,104,1.076573,19,0,1,1,0.666667,0,34
1415338200,qalawishahoo,22590,37082,1.654439,24,0,1,1,0.177978,0,189
1795106819,khalkhal_newz,0,813,1.033424,8,0,1,1,0.209855,0,189
1088249180,sabzemeydan,12202,1153,1.968961,190,0,23,23,0.255143,0,189
1067857913,pishksvatanfk,14377,2876,1.816431,104,0,12,12,0.223105,0,168
1506759434,poshtepardeonline,53886,8488,2.379639,108,10,9,19,0.236866,2039.968142,189
1299717915,hamshahri_azerbaijansharghi,62,209,1.055905,13,0,1,1,0.188459,0,206
1322786637,dehstanabbarik,211,267,1.050836,10,0,1,1,0.179519,0,168
1368736808,persia_navy_marines,0,3820,1.071882,18,0,1,1,0.187949,0,139
1380042890,dehyarybenkela_sohrayebenekela,102,194,1.02569,5,0,1,1,0.211411,0,106
1241914241,sd_bl,3431,35994,1.14259,3,9,0,9,0,0,83
1361963332,user_1361963332,20783,0,1.758951,52,1,3,4,0.198287,0.375,206
1101006059,kargozarans,22163,2319,1.732283,41,3,1,4,1,2,189
1122623187,didehban_iran,73128,3476,3.498102,564,3,51,54,0.268642,64797.584045,189
1832078006,barandaz_fesharbokhor,255005,14295,3.723471,244,18,16,34,0.241452,16752.164005,139
1012185922,jpshahr,3455,732,1.526457,125,0,20,20,0.259886,0,189
1264498372,khalkhalylar1,0,2479,1.037426,9,0,1,1,1,0,37
1055414174,ejtemaeemashhad,0,16024,1.10721,28,0,3,3,0.226461,0,168
1816569481,rostam_tunes,168,206,1.175764,47,0,6,6,0.22507,0,139
1002901918,zarinkhabar,6497,4499,1.629444,118,13,16,29,0.243776,28584.962378,168
1273316435,razoniyazi,0,279,1.0086,2,0,1,1,0.174607,0,168
1090153359,j_sh_sammonjezi,15110,788,1.595656,38,1,0,1,0,0,189
1707220969,newwaypolitics,132136,5566,3.128564,184,21,17,38,0.250314,77640.583217,34
1806060938,souha_shokat_63,165,138,1.020036,3,2,0,2,0,0,26
1569771301,gardtakavaraneran,599,835,1.135184,28,1,5,6,0.164886,420.420684,34
1220433492,ashratibabajanirizhav,6570,1451,1.430492,49,0,3,3,0.221775,0,37
1675563385,qazvinqiyame,79,347,1.100659,25,0,2,2,0.113134,0,34
1351148960,azar_fouri,8714,2359,1.620941,88,3,11,14,0.24798,14390.717328,189
1287974776,tehranpress_1,30,185,1.018356,4,0,1,1,0.211411,0,106
1082111625,orkan_tork,87,87,1.159682,43,0,3,3,0.194377,0,168
1189313961,megpz,0,4148,1.037426,9,0,1,1,0.666667,0,92
1963558008,mosaallas,148801,1033323,3.260438,203,1,24,25,0.241093,20.712643,168
1099391239,seyyedabad,715,426,1.09251,15,0,1,1,1,0,37
