Source,Target,Type,Id,Label,Weight,Candidate
1000013956,1011471762,Directed,7,,2,Pezeshkian
1000018594,1001976122,Directed,13,,10,Pezeshkian
1000018594,1002738390,Directed,15,,2,Pezeshkian
1000018594,1002739327,Directed,16,,3,Pezeshkian
1000018594,1002765601,Directed,17,,4,Pezeshkian
1000018594,1002843824,Directed,18,,2,Pezeshkian
1000018594,1004069147,Directed,21,,3,Pezeshkian
1000018594,1004135749,Directed,22,,2,Pezeshkian
1000018594,1005280116,Directed,26,,4,Pezeshkian
1000018594,1005665139,Directed,27,,4,Pezeshkian
1000018594,1006227643,Directed,30,,10,Pezeshkian
1000018594,1006298883,Directed,31,,4,Pezeshkian
1000018594,1006914438,Directed,33,,4,Pezeshkian
1000018594,1007884158,Directed,37,,4,Pezeshkian
1000018594,1021535192,Directed,44,,2,Pezeshkian
1000018594,1027676885,Directed,46,,2,Pezeshkian
1000018594,1068763227,Directed,53,,2,Pezeshkian
1000018594,1069291200,Directed,54,,4,Pezeshkian
1000018594,1080296471,Directed,57,,2,Pezeshkian
1000018594,1083368581,Directed,58,,2,Pezeshkian
1000018594,1101759541,Directed,63,,2,Pezeshkian
1000018594,1118521939,Directed,64,,2,Pezeshkian
1000018594,1127390421,Directed,66,,3,Pezeshkian
1000018594,1168273313,Directed,72,,2,Pezeshkian
1000018594,1234125827,Directed,76,,2,Pezeshkian
1000018594,1275084443,Directed,78,,3,Pezeshkian
1000018594,1368575513,Directed,84,,3,Pezeshkian
1000018594,1454361599,Directed,90,,2,Pezeshkian
1000018594,1489742853,Directed,93,,2,Pezeshkian
1000018594,1532857131,Directed,95,,2,Pezeshkian
1000018594,1852051846,Directed,100,,2,Pezeshkian
1000018594,1859547507,Directed,101,,2,Pezeshkian
1000078989,1002739327,Directed,116,,2,Pezeshkian
1000078989,1003892158,Directed,119,,2,Pezeshkian
1000078989,1006939659,Directed,120,,19,Pezeshkian
1000078989,1048311732,Directed,123,,3,Pezeshkian
1000078989,1068763227,Directed,125,,2,Pezeshkian
1000078989,1083368581,Directed,129,,3,Pezeshkian
1000087957,1165096516,Directed,149,,2,Pezeshkian
1000087957,1400091833,Directed,150,,4,Pezeshkian
1000099415,1083368581,Directed,154,,2,Pezeshkian
1000115527,1006165084,Directed,161,,2,Pezeshkian
1000115527,1103367734,Directed,162,,2,Pezeshkian
1000163449,1054434303,Directed,174,,2,Pezeshkian
1000163449,1058304610,Directed,176,,4,Pezeshkian
1000163449,1058365023,Directed,177,,2,Pezeshkian
1000163449,1058667053,Directed,178,,4,Pezeshkian
1000180159,1001976122,Directed,197,,5,Pezeshkian
1000180159,1002739327,Directed,198,,3,Pezeshkian
1000180159,1005020200,Directed,203,,3,Pezeshkian
1000180159,1005280116,Directed,204,,6,Pezeshkian
1000180159,1006212930,Directed,206,,3,Pezeshkian
1000180159,1006939659,Directed,208,,10,Pezeshkian
1000180159,1119835032,Directed,217,,5,Pezeshkian
1000180159,1243069114,Directed,221,,2,Pezeshkian
1000180159,1308311510,Directed,225,,2,Pezeshkian
1000180159,1369092212,Directed,228,,3,Pezeshkian
1000186879,1956708093,Directed,234,,2,Pezeshkian
1000186879,1957239607,Directed,235,,2,Pezeshkian
1000193962,1002739327,Directed,236,,2,Pezeshkian
1000193962,1005280116,Directed,237,,2,Pezeshkian
1000198153,1324213724,Directed,250,,2,Pezeshkian
1000199571,1001976122,Directed,252,,2,Pezeshkian
1000199765,1005866359,Directed,272,,2,Pezeshkian
1000207081,1234125827,Directed,279,,4,Pezeshkian
1000207081,1956708093,Directed,282,,2,Pezeshkian
1000219047,1000219802,Directed,285,,2,Pezeshkian
1000241310,1001976122,Directed,300,,2,Pezeshkian
1000241310,1005665139,Directed,306,,14,Pezeshkian
1000241310,1006939659,Directed,310,,3,Pezeshkian
1000241310,1083368581,Directed,320,,2,Pezeshkian
1000241310,1275084443,Directed,326,,2,Pezeshkian
1000241310,1324213724,Directed,329,,2,Pezeshkian
1000253785,1324213724,Directed,352,,2,Pezeshkian
1000256732,1000269418,Directed,354,,2,Pezeshkian
1000256732,1001976122,Directed,359,,3,Pezeshkian
1000256732,1002739327,Directed,360,,2,Pezeshkian
1000256732,1005280116,Directed,365,,7,Pezeshkian
1000256732,1005665139,Directed,366,,2,Pezeshkian
1000256732,1006212930,Directed,368,,2,Pezeshkian
1000256732,1006939659,Directed,370,,4,Pezeshkian
1000256732,1027676885,Directed,377,,2,Pezeshkian
1000256732,1069291200,Directed,384,,2,Pezeshkian
1000256732,1185449632,Directed,400,,2,Pezeshkian
1000256732,1277347123,Directed,407,,2,Pezeshkian
1000269418,1001976122,Directed,431,,8,Pezeshkian
1000269418,1002738390,Directed,433,,7,Pezeshkian
