Id,Label,views,followers,importance,posts,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,modularity_class
1447659114,gazersesi,2686,1160,1.221612,28,2,4,6,0.189086,16816.983333,2668
1826268931,sedalihasani,99081,6051,2.453694,60,2,0,2,0,0,4345
1124128736,alisaraye_fouman,0,114,1.021189,5,0,1,1,0.180867,0,11292
1265225900,bnbuni_news,19637,1917,1.814766,71,0,2,2,0.218378,0,6434
1120524214,bayeganitabligh,2316,422,1.118065,6,0,1,1,1,0,5045
1196169975,qezavatba_shoma,8327,10358,1.289855,5,19,0,19,0,0,1638
1133333907,akhbar_sardasht,3218,7132,1.180675,13,0,1,1,1,0,4345
1137540850,khabarhaye_farhangian,0,2775,1.025306,6,0,1,1,0.189636,0,9848
1758596429,ketabmm,0,3743,1.012837,3,0,1,1,1,0,17
1477131077,enghelabema1,29036,6761,1.970307,73,13,4,17,0.201692,31.483242,2472
1528500186,twite_hub,127541,131428,2.403281,33,1,3,4,0.207948,1193,1638
1034919436,skaghazkonan,9307,5166,1.378135,18,0,1,1,0.180867,0,11292
1107871117,mardom_press,2179,22562,1.492443,137,16,15,31,0.240759,2832.750227,2472
1814517848,samartgroup1,1703,751,1.104004,8,1,0,1,0,0,13017
1333386301,bornanewslahijan,0,147,1.012837,3,0,1,1,0.188438,0,11017
1000269418,recenteconomicnews,64398,7114,2.599909,145,9,10,19,0.234185,16445.446263,2472
1140061335,official_jeeto,0,434,1.0086,2,0,1,1,1,0,4345
1472369194,khabarfoori_taybad1,158,1543,1.011159,1,1,0,1,0,0,4345
1605903163,newnewsroom,1419,685,1.309392,73,1,10,11,0.234796,232.377974,9848
1015454017,lorestanaligoodarz,719,2154,1.174251,38,0,6,6,0.209556,0,2472
1371957809,sedayebokan,13699,16652,1.512712,26,0,1,1,1,0,4345
1251989231,sarpol313,13,81,1.07979,20,0,2,2,0.226677,0,2472
1357522667,persiannewsfa,1548,13020,1.320736,75,0,19,19,0.267429,0,748
1102057774,akhbar_galikesh,0,589,1.025306,6,0,2,2,0.157749,0,4345
1771300096,nufoozi_ir,11251,2871,1.496096,34,1,1,2,0.171113,0,5586
1052279687,nedayzarinabad,3173,3042,1.228193,25,0,2,2,0.190484,0,4345
1147041036,heyatnewstel,485,84,1.074739,13,2,0,2,0,0,51
1197434300,b_retouche,0,141,1.017033,4,0,1,1,1,0,4345
1494752136,nezarateejtemai,314,343,1.059359,11,0,1,1,0.159519,0,9848
1275084443,mizanplus,211322,100454,3.535959,222,188,12,200,0.222929,16774.047384,2472
2061662171,r_sanatnewsilam,304,202,1.085823,18,0,1,1,0.4,0,4345
1141578942,enda_rabehem_yourzaghon,21,225,1.050174,12,0,1,1,0.190029,0,2472
1054546965,lalalo95,355,403,1.169746,42,0,3,3,0.228588,0,6434
1385987059,dollar_khabari,32929,55849,2.068976,85,0,9,9,0.23951,0,6434
1487056973,labeyk14,2440,92,1.233977,34,0,3,3,0.200572,0,2472
1003042830,ahlekashanam,44274,34741,1.8464,16,0,1,1,0.189245,0,6434
1027863324,alabd110,19150,21192,1.525264,10,2,0,2,0,0,71
1076592864,sobhtoos,1166,5066,1.374584,105,3,16,19,0.238839,536.311712,2472
1280259885,tarjjommee,4310,7344,1.242945,19,0,3,3,1,0,10707
1837340887,boshsalam02,4561,273,1.318522,36,0,2,2,0.1968,0,2472
1065064585,kermanitr,0,2482,1.012837,3,0,1,1,0.180867,0,11292
1203421319,mamaloonews,230,272,1.05958,12,0,2,2,0.218779,0,4345
